# X/B  Centerline_Wake_Profile/B  Quarterbeam_Wake_Profile/B
0.000000 0.000000 0.000000
0.050000 0.002844 0.001755
0.100000 0.008044 0.004965
0.150000 0.014777 0.009120
0.200000 0.022747 0.014039
0.250000 0.031781 0.019614
0.300000 0.041760 0.025773
0.350000 0.052595 0.032460
0.400000 0.064211 0.039629
0.450000 0.076546 0.047242
0.500000 0.089546 0.055265
0.550000 0.103158 0.063667
0.600000 0.117336 0.072417
0.650000 0.132032 0.081487
0.700000 0.147202 0.090849
0.750000 0.162799 0.100475
0.800000 0.178779 0.110337
0.850000 0.195094 0.120407
0.900000 0.211698 0.130654
0.950000 0.228541 0.141050
1.000000 0.245574 0.151562
1.050000 0.262744 0.162159
1.100000 0.279998 0.172808
1.150000 0.297281 0.183474
1.200000 0.314535 0.194123
1.250000 0.331702 0.204718
1.300000 0.348722 0.215222
1.350000 0.365531 0.225596
1.400000 0.382065 0.235801
1.450000 0.398261 0.245796
1.500000 0.414049 0.255540
1.550000 0.429364 0.264992
1.600000 0.444135 0.274108
1.650000 0.458292 0.282846
1.700000 0.471766 0.291161
1.750000 0.484485 0.299011
1.800000 0.496378 0.306351
1.850000 0.507375 0.313138
1.900000 0.517405 0.319329
1.950000 0.526399 0.324880
2.000000 0.534289 0.329749
2.050000 0.541009 0.333896
2.100000 0.546492 0.337281
2.150000 0.550678 0.339864
2.200000 0.553507 0.341610
2.250000 0.554921 0.342483
2.300000 0.554868 0.342450
2.350000 0.553299 0.341482
2.400000 0.550170 0.339550
2.450000 0.545440 0.336631
2.500000 0.539076 0.332703
2.550000 0.531048 0.327749
2.600000 0.521333 0.321753
2.650000 0.509917 0.314707
2.700000 0.496788 0.306605
2.750000 0.481947 0.297445
2.800000 0.465397 0.287231
2.850000 0.447154 0.275971
2.900000 0.427238 0.263680
2.950000 0.405680 0.250375
3.000000 0.382520 0.236081
