# X/B  Centerline_Wake_Profile/B  Quarterbeam_Wake_Profile/B
0.000000 0.000000 0.000000
0.050000 0.000867 0.000507
0.100000 0.002453 0.001433
0.150000 0.004507 0.002632
0.200000 0.006939 0.004052
0.250000 0.009697 0.005663
0.300000 0.012747 0.007443
0.350000 0.016062 0.009379
0.400000 0.019622 0.011458
0.450000 0.023412 0.013671
0.500000 0.027417 0.016010
0.550000 0.031625 0.018467
0.600000 0.036027 0.021038
0.650000 0.040614 0.023716
0.700000 0.045378 0.026498
0.750000 0.050310 0.029378
0.800000 0.055405 0.032353
0.850000 0.060655 0.035419
0.900000 0.066056 0.038573
0.950000 0.071601 0.041811
1.000000 0.077285 0.045130
1.050000 0.083103 0.048527
1.100000 0.089049 0.051999
1.150000 0.095120 0.055544
1.200000 0.101309 0.059158
1.250000 0.107613 0.062840
1.300000 0.114027 0.066585
1.350000 0.120545 0.070391
1.400000 0.127165 0.074257
1.450000 0.133880 0.078178
1.500000 0.140686 0.082152
1.550000 0.147580 0.086178
1.600000 0.154555 0.090251
1.650000 0.161608 0.094370
1.700000 0.168734 0.098531
1.750000 0.175928 0.102732
1.800000 0.183186 0.106969
1.850000 0.190501 0.111241
1.900000 0.197870 0.115544
1.950000 0.205288 0.119876
2.000000 0.212749 0.124233
2.050000 0.220248 0.128612
2.100000 0.227781 0.133010
2.150000 0.235341 0.137425
2.200000 0.242923 0.141853
2.250000 0.250523 0.146290
2.300000 0.258133 0.150734
2.350000 0.265750 0.155182
2.400000 0.273366 0.159629
2.450000 0.280977 0.164074
2.500000 0.288575 0.168511
2.550000 0.296157 0.172938
2.600000 0.303714 0.177351
2.650000 0.311241 0.181746
2.700000 0.318732 0.186121
2.750000 0.326181 0.190470
2.800000 0.333580 0.194791
2.850000 0.340925 0.199080
2.900000 0.348207 0.203332
2.950000 0.355421 0.207544
3.000000 0.362559 0.211713
