# X/B  Centerline_Wake_Profile/B  Quarterbeam_Wake_Profile/B
0.000000 0.000000 0.000000
0.050000 0.001524 0.000984
0.100000 0.004310 0.002783
0.150000 0.007917 0.005113
0.200000 0.012189 0.007871
0.250000 0.017034 0.010999
0.300000 0.022389 0.014458
0.350000 0.028210 0.018216
0.400000 0.034460 0.022252
0.450000 0.041109 0.026546
0.500000 0.048134 0.031082
0.550000 0.055512 0.035846
0.600000 0.063224 0.040826
0.650000 0.071253 0.046011
0.700000 0.079584 0.051390
0.750000 0.088202 0.056955
0.800000 0.097092 0.062695
0.850000 0.106241 0.068603
0.900000 0.115637 0.074671
0.950000 0.125268 0.080889
1.000000 0.135120 0.087251
1.050000 0.145182 0.093748
1.100000 0.155441 0.100373
1.150000 0.165886 0.107118
1.200000 0.176505 0.113975
1.250000 0.187285 0.120936
1.300000 0.198215 0.127994
1.350000 0.209281 0.135139
1.400000 0.220471 0.142365
1.450000 0.231772 0.149663
1.500000 0.243172 0.157024
1.550000 0.254656 0.164440
1.600000 0.266212 0.171901
1.650000 0.277824 0.179400
1.700000 0.289480 0.186927
1.750000 0.301165 0.194472
1.800000 0.312863 0.202026
1.850000 0.324561 0.209579
1.900000 0.336242 0.217122
1.950000 0.347891 0.224645
2.000000 0.359493 0.232136
2.050000 0.371030 0.239586
2.100000 0.382486 0.246983
2.150000 0.393845 0.254318
2.200000 0.405089 0.261579
2.250000 0.416202 0.268755
2.300000 0.427165 0.275834
2.350000 0.437962 0.282806
2.400000 0.448573 0.289658
2.450000 0.458982 0.296379
2.500000 0.469168 0.302957
2.550000 0.479115 0.309380
2.600000 0.488804 0.315636
2.650000 0.498215 0.321713
2.700000 0.507330 0.327599
2.750000 0.516130 0.333282
2.800000 0.524597 0.338749
2.850000 0.532711 0.343988
2.900000 0.540454 0.348988
2.950000 0.547807 0.353736
3.000000 0.554751 0.358220
