# X/B  Centerline_Wake_Profile/B  Quarterbeam_Wake_Profile/B
0.000000 0.000000 0.000000
0.050000 0.002037 0.001315
0.100000 0.005762 0.003721
0.150000 0.010585 0.006835
0.200000 0.016296 0.010522
0.250000 0.022771 0.014703
0.300000 0.029928 0.019325
0.350000 0.037705 0.024346
0.400000 0.046051 0.029735
0.450000 0.054928 0.035467
0.500000 0.064298 0.041517
0.550000 0.074133 0.047868
0.600000 0.084404 0.054500
0.650000 0.095086 0.061397
0.700000 0.106153 0.068543
0.750000 0.117585 0.075924
0.800000 0.129357 0.083526
0.850000 0.141449 0.091333
0.900000 0.153838 0.099333
0.950000 0.166503 0.107511
1.000000 0.179424 0.115854
1.050000 0.192577 0.124347
1.100000 0.205940 0.132975
1.150000 0.219492 0.141726
1.200000 0.233210 0.150583
1.250000 0.247069 0.159532
1.300000 0.261047 0.168558
1.350000 0.275118 0.177643
1.400000 0.289257 0.186773
1.450000 0.303439 0.195930
1.500000 0.317637 0.205098
1.550000 0.331825 0.214259
1.600000 0.345974 0.223395
1.650000 0.360056 0.232488
1.700000 0.374043 0.241519
1.750000 0.387904 0.250469
1.800000 0.401609 0.259319
1.850000 0.415129 0.268048
1.900000 0.428431 0.276638
1.950000 0.441484 0.285066
2.000000 0.454255 0.293312
2.050000 0.466712 0.301356
2.100000 0.478823 0.309176
2.150000 0.490553 0.316750
2.200000 0.501870 0.324057
2.250000 0.512740 0.331076
2.300000 0.523129 0.337784
2.350000 0.533004 0.344160
2.400000 0.542330 0.350182
2.450000 0.551075 0.355829
2.500000 0.559206 0.361079
2.550000 0.566688 0.365910
2.600000 0.573491 0.370303
2.650000 0.579581 0.374235
2.700000 0.584928 0.377688
2.750000 0.589501 0.380641
2.800000 0.593271 0.383075
2.850000 0.596208 0.384971
2.900000 0.598285 0.386312
2.950000 0.599476 0.387081
3.000000 0.599755 0.387261
